ID,sample,class,group
1,A019,2,A
2,A021,,A
3,A023,3,A
4,A029,2,A
5,A031,3,A
6,A037,1,A
7,A040,2,A
8,A042,3,A
9,A051,,A
10,A053,2,A
11,A054,1,A
12,A055,2,A
13,A057,3,A
14,A061,3,A
15,A063,3,A
16,A065,1,A
17,A067,,A
18,A069,3,A
19,A071,3,A
20,A073,2,A
21,A077,3,A
22,C020,0,C
23,C022,0,C
24,C024,0,C
25,C030,0,C
26,C032,0,C
27,C038,0,C
28,C041,0,C
29,C043,0,C
30,C052,0,C
31,C054,0,C
32,C056,0,C
33,C058,0,C
34,C060,0,C
35,C062,0,C
36,C064,0,C
37,C066,0,C
38,C068,0,C
39,C070,0,C
40,C072,0,C
41,C074,0,C
42,C078,0,C
